gs1_ai_number,gs1_ai_regex,gs1_ai_format,gs1_ai_format_terms,gs1_ai_format_length_varies,gs1_ai_format_length_total_with_ai_and_fnc1,gs1_ai_format_length_min,gs1_ai_format_length_max,gs1_ai_term1_format,gs1_ai_term1_length_fixed,gs1_ai_term2_format,gs1_ai_term2_datatype,gs1_ai_term2_length_fixed,gs1_ai_term2_length_variable,gs1_ai_term3_format,gs1_ai_term3_datatype,gs1_ai_term3_length_fixed,gs1_ai_term3_length_variable,gs1_ai_FNC1_required,gs1_ai_description,gs1_ai_name,gs1_ai_note,gs1_ai_url
0,^00(\d{18})$,N2+N18,2,FALSE,20,18,18,N2,2,N18,N,18,,,,,,FALSE,Serial Shipping Container Code (SSCC) ,SSCC,,https://www.gs1.org/standards/barcodes/application-identifiers/00?lang=en
1,^01(\d{14})$,N2+N14,2,FALSE,16,14,14,N2,2,N14,N,14,,,,,,FALSE,Global Trade Item Number (GTIN),GTIN,,https://www.gs1.org/standards/barcodes/application-identifiers/01?lang=en
2,^02(\d{14})$,N2+N14,2,FALSE,16,14,14,N2,2,N14,N,14,,,,,,FALSE,Global Trade Item Number (GTIN) of contained trade items,CONTENT,,https://www.gs1.org/standards/barcodes/application-identifiers/02?lang=en
10,"^10([\x21-\x22\x25-\x2F\x30-\x39\x3A-\x3F\x41-\x5A\x5F\x61-\x7A]{0,20})$",N2+X..20,2,TRUE,23,1,20,N2,2,X..20,X,,20,,,,,TRUE,Batch or lot number,BATCH/LOT,,https://www.gs1.org/standards/barcodes/application-identifiers/10?lang=en
11,^11(\d{6})$,N2+N6,2,FALSE,8,6,6,N2,2,N6,N,6,,,,,,FALSE,Production date (YYMMDD),PROD DATE,,https://www.gs1.org/standards/barcodes/application-identifiers/11?lang=en
12,^12(\d{6})$,N2+N6,2,FALSE,8,6,6,N2,2,N6,N,6,,,,,,FALSE,Due date (YYMMDD),DUE DATE,,https://www.gs1.org/standards/barcodes/application-identifiers/12?lang=en
13,^13(\d{6})$,N2+N6,2,FALSE,8,6,6,N2,2,N6,N,6,,,,,,FALSE,Packaging date (YYMMDD),PACK DATE,,https://www.gs1.org/standards/barcodes/application-identifiers/13?lang=en
15,^15(\d{6})$,N2+N6,2,FALSE,8,6,6,N2,2,N6,N,6,,,,,,FALSE,Best before date (YYMMDD),BEST BEFORE or BEST BY,,https://www.gs1.org/standards/barcodes/application-identifiers/15?lang=en
16,^16(\d{6})$,N2+N6,2,FALSE,8,6,6,N2,2,N6,N,6,,,,,,FALSE,Sell by date (YYMMDD),SELL BY,,https://www.gs1.org/standards/barcodes/application-identifiers/16?lang=en
17,^17(\d{6})$,N2+N6,2,FALSE,8,6,6,N2,2,N6,N,6,,,,,,FALSE,Expiration date (YYMMDD),USE BY OR EXPIRY,,https://www.gs1.org/standards/barcodes/application-identifiers/17?lang=en
